Count	Time	Value	Diff	Status
0	16/08/2013 16:20:30 CEST	4.104,69	0,00	Real-time index
0	16/08/2013 16:20:15 CEST	4.105,32	0,00	Real-time index
0	16/08/2013 16:20:00 CEST	4.105,61	0,00	Real-time index
0	16/08/2013 16:19:45 CEST	4.105,63	0,00	Real-time index
0	16/08/2013 16:19:30 CEST	4.105,45	0,00	Real-time index
0	16/08/2013 16:19:15 CEST	4.105,46	0,00	Real-time index
0	16/08/2013 16:19:00 CEST	4.105,57	0,00	Real-time index
0	16/08/2013 16:18:45 CEST	4.105,51	0,00	Real-time index
0	16/08/2013 16:18:30 CEST	4.105,38	0,00	Real-time index
0	16/08/2013 16:18:15 CEST	4.105,60	0,00	Real-time index
0	16/08/2013 16:18:00 CEST	4.105,73	0,00	Real-time index
0	16/08/2013 16:17:45 CEST	4.106,69	0,00	Real-time index
0	16/08/2013 16:17:39 CEST	4.101,27	0,00	Options liquidation index
0	16/08/2013 16:17:15 CEST	4.107,25	0,00	Real-time index
0	16/08/2013 16:17:00 CEST	4.107,24	0,00	Real-time index
0	16/08/2013 16:16:45 CEST	4.107,23	0,00	Real-time index
0	16/08/2013 16:16:30 CEST	4.107,58	0,00	Real-time index
0	16/08/2013 16:16:15 CEST	4.107,32	0,00	Real-time index
0	16/08/2013 16:16:00 CEST	4.107,06	0,00	Real-time index
0	16/08/2013 16:15:45 CEST	4.106,75	0,00	Real-time index
0	16/08/2013 16:15:30 CEST	4.106,99	0,00	Real-time index
0	16/08/2013 16:15:15 CEST	4.107,44	0,00	Real-time index
0	16/08/2013 16:15:00 CEST	4.107,06	0,00	Real-time index
0	16/08/2013 16:14:45 CEST	4.106,98	0,00	Real-time index
0	16/08/2013 16:14:30 CEST	4.106,97	0,00	Real-time index
0	16/08/2013 16:14:15 CEST	4.108,08	0,00	Real-time index
0	16/08/2013 16:13:45 CEST	4.107,97	0,00	Real-time index
0	16/08/2013 16:13:30 CEST	4.108,09	0,00	Real-time index
0	16/08/2013 16:13:15 CEST	4.108,21	0,00	Real-time index
0	16/08/2013 16:13:00 CEST	4.108,18	0,00	Real-time index
0	16/08/2013 16:12:45 CEST	4.107,84	0,00	Real-time index
0	16/08/2013 16:12:30 CEST	4.107,87	0,00	Real-time index
0	16/08/2013 16:12:15 CEST	4.107,60	0,00	Real-time index
0	16/08/2013 16:11:45 CEST	4.107,49	0,00	Real-time index
0	16/08/2013 16:11:30 CEST	4.107,25	0,00	Real-time index
0	16/08/2013 16:11:15 CEST	4.106,52	0,00	Real-time index
0	16/08/2013 16:11:00 CEST	4.106,17	0,00	Real-time index
0	16/08/2013 16:10:45 CEST	4.105,81	0,00	Real-time index
0	16/08/2013 16:10:30 CEST	4.105,86	0,00	Real-time index
0	16/08/2013 16:10:15 CEST	4.105,70	0,00	Real-time index
0	16/08/2013 16:10:00 CEST	4.105,81	0,00	Real-time index
0	16/08/2013 16:09:45 CEST	4.106,20	0,00	Real-time index
0	16/08/2013 16:09:30 CEST	4.106,26	0,00	Real-time index
0	16/08/2013 16:09:15 CEST	4.106,24	0,00	Real-time index
0	16/08/2013 16:09:00 CEST	4.106,41	0,00	Real-time index
0	16/08/2013 16:08:45 CEST	4.106,32	0,00	Real-time index
0	16/08/2013 16:08:30 CEST	4.105,30	0,00	Real-time index
0	16/08/2013 16:08:15 CEST	4.105,25	0,00	Real-time index
0	16/08/2013 16:08:00 CEST	4.105,90	0,00	Real-time index
0	16/08/2013 16:07:45 CEST	4.105,97	0,00	Real-time index
0	16/08/2013 16:07:30 CEST	4.106,44	0,00	Real-time index
0	16/08/2013 16:07:15 CEST	4.106,07	0,00	Real-time index
0	16/08/2013 16:07:00 CEST	4.105,76	0,00	Real-time index
0	16/08/2013 16:06:45 CEST	4.106,16	0,00	Real-time index
0	16/08/2013 16:06:30 CEST	4.106,36	0,00	Real-time index
0	16/08/2013 16:06:15 CEST	4.106,72	0,00	Real-time index
0	16/08/2013 16:06:00 CEST	4.106,09	0,00	Real-time index
0	16/08/2013 16:05:45 CEST	4.106,03	0,00	Real-time index
0	16/08/2013 16:05:30 CEST	4.105,69	0,00	Real-time index
0	16/08/2013 16:05:15 CEST	4.105,43	0,00	Real-time index
0	16/08/2013 16:05:00 CEST	4.102,81	0,00	Real-time index
0	16/08/2013 16:04:45 CEST	4.102,69	0,00	Real-time index
0	16/08/2013 16:04:30 CEST	4.102,92	0,00	Real-time index
0	16/08/2013 16:04:15 CEST	4.103,00	0,00	Real-time index
0	16/08/2013 16:04:00 CEST	4.103,72	0,00	Real-time index
0	16/08/2013 16:03:45 CEST	4.103,88	0,00	Real-time index
0	16/08/2013 16:03:30 CEST	4.103,93	0,00	Real-time index
0	16/08/2013 16:03:15 CEST	4.103,91	0,00	Real-time index
0	16/08/2013 16:03:00 CEST	4.103,68	0,00	Real-time index
0	16/08/2013 16:02:45 CEST	4.103,56	0,00	Real-time index
0	16/08/2013 16:02:30 CEST	4.103,15	0,00	Real-time index
0	16/08/2013 16:02:15 CEST	4.102,85	0,00	Real-time index
0	16/08/2013 16:02:00 CEST	4.102,71	0,00	Real-time index
0	16/08/2013 16:01:45 CEST	4.103,02	0,00	Real-time index
0	16/08/2013 16:01:30 CEST	4.103,57	0,00	Real-time index
0	16/08/2013 16:01:15 CEST	4.101,87	0,00	Real-time index
0	16/08/2013 16:01:00 CEST	4.101,46	0,00	Real-time index
0	16/08/2013 16:00:45 CEST	4.103,15	0,00	Real-time index
0	16/08/2013 16:00:30 CEST	4.104,36	0,00	Real-time index
0	16/08/2013 16:00:15 CEST	4.104,68	0,00	Real-time index
0	16/08/2013 16:00:00 CEST	4.105,09	0,00	Real-time index
0	16/08/2013 15:59:45 CEST	4.105,21	0,00	Real-time index
0	16/08/2013 15:59:30 CEST	4.103,94	0,00	Real-time index
0	16/08/2013 15:59:15 CEST	4.103,81	0,00	Real-time index
0	16/08/2013 15:59:00 CEST	4.102,33	0,00	Real-time index
0	16/08/2013 15:58:45 CEST	4.101,84	0,00	Real-time index
0	16/08/2013 15:58:30 CEST	4.101,68	0,00	Real-time index
0	16/08/2013 15:58:15 CEST	4.101,52	0,00	Real-time index
0	16/08/2013 15:58:00 CEST	4.101,05	0,00	Real-time index
0	16/08/2013 15:57:45 CEST	4.100,67	0,00	Real-time index
0	16/08/2013 15:57:30 CEST	4.100,31	0,00	Real-time index
0	16/08/2013 15:57:15 CEST	4.100,29	0,00	Real-time index
0	16/08/2013 15:57:00 CEST	4.100,54	0,00	Real-time index
0	16/08/2013 15:56:45 CEST	4.100,27	0,00	Real-time index
0	16/08/2013 15:56:30 CEST	4.100,58	0,00	Real-time index
0	16/08/2013 15:56:15 CEST	4.102,29	0,00	Real-time index
0	16/08/2013 15:56:00 CEST	4.102,64	0,00	Real-time index
0	16/08/2013 15:55:45 CEST	4.102,84	0,00	Real-time index
0	16/08/2013 15:55:30 CEST	4.103,65	0,00	Real-time index
0	16/08/2013 15:55:15 CEST	4.102,40	0,00	Real-time index
0	16/08/2013 15:54:45 CEST	4.103,38	0,00	Real-time index
0	16/08/2013 15:54:30 CEST	4.103,40	0,00	Real-time index
0	16/08/2013 15:54:15 CEST	4.103,58	0,00	Real-time index
0	16/08/2013 15:54:00 CEST	4.103,31	0,00	Real-time index
0	16/08/2013 15:53:45 CEST	4.104,15	0,00	Real-time index
0	16/08/2013 15:53:30 CEST	4.103,47	0,00	Real-time index
0	16/08/2013 15:53:15 CEST	4.103,41	0,00	Real-time index
0	16/08/2013 15:53:00 CEST	4.103,32	0,00	Real-time index
0	16/08/2013 15:52:45 CEST	4.104,14	0,00	Real-time index
0	16/08/2013 15:52:30 CEST	4.103,61	0,00	Real-time index
0	16/08/2013 15:52:15 CEST	4.103,43	0,00	Real-time index
0	16/08/2013 15:52:00 CEST	4.103,40	0,00	Real-time index
0	16/08/2013 15:51:45 CEST	4.103,03	0,00	Real-time index
0	16/08/2013 15:51:30 CEST	4.103,17	0,00	Real-time index
0	16/08/2013 15:51:15 CEST	4.104,34	0,00	Real-time index
0	16/08/2013 15:51:00 CEST	4.104,88	0,00	Real-time index
0	16/08/2013 15:50:45 CEST	4.104,53	0,00	Real-time index
0	16/08/2013 15:50:30 CEST	4.103,71	0,00	Real-time index
0	16/08/2013 15:50:15 CEST	4.103,44	0,00	Real-time index
0	16/08/2013 15:50:00 CEST	4.103,26	0,00	Real-time index
